,time,reward_mean,reward_std
0,0.003,0.505,0.195
1,0.004,0.25,0.086
2,0.003,0.265,0.066
3,0.004,0.265,0.066
4,0.004,0.265,0.066
5,0.004,0.265,0.066
6,0.004,0.265,0.066
7,0.006,0.265,0.066
8,0.004,0.265,0.066
9,0.003,0.265,0.066
10,0.003,0.265,0.066
11,0.004,0.265,0.066
12,0.004,0.265,0.066
13,0.004,0.265,0.066
14,0.004,0.265,0.066
15,0.004,0.265,0.066
16,0.003,0.265,0.066
17,0.004,0.265,0.066
18,0.003,0.265,0.066
19,0.004,0.265,0.066
20,0.004,0.265,0.066
21,0.004,0.265,0.066
22,0.004,0.265,0.066
23,0.004,0.265,0.066
24,0.003,0.265,0.066
25,0.004,0.265,0.066
26,0.003,0.265,0.066
27,0.005,0.265,0.066
28,0.004,0.265,0.066
29,0.005,0.265,0.066
30,0.004,0.265,0.066
31,0.005,0.265,0.066
32,0.004,0.265,0.066
33,0.005,0.265,0.066
34,0.004,0.265,0.066
35,0.004,0.265,0.066
36,0.004,0.265,0.066
37,0.005,0.265,0.066
38,0.004,0.265,0.066
39,0.004,0.265,0.066
40,0.004,0.265,0.066
41,0.004,0.265,0.066
42,0.004,0.265,0.066
43,0.004,0.265,0.066
44,0.004,0.265,0.066
45,0.004,0.265,0.066
46,0.004,0.265,0.066
47,0.004,0.265,0.066
48,0.004,0.265,0.066
49,0.004,0.265,0.066
50,0.004,0.265,0.066
51,0.004,0.265,0.066
52,0.004,0.015,0.521
53,0.004,0.265,0.066
54,0.004,0.265,0.066
55,0.004,0.265,0.066
56,0.004,0.265,0.066
57,0.004,0.265,0.066
58,0.004,0.265,0.066
59,0.005,0.265,0.066
60,0.004,0.265,0.066
61,0.004,0.265,0.066
62,0.004,0.265,0.066
63,0.004,0.265,0.066
64,0.003,0.265,0.066
65,0.005,0.265,0.066
66,0.006,0.265,0.066
67,0.004,0.265,0.066
68,0.004,0.265,0.066
69,0.004,0.265,0.066
70,0.006,0.265,0.066
